date	pieacoulisse	Miaimbouchon	BOUCENNA	fdn4444	miled	Caroline-637442	Pompottewi	Arsuol	Yves-Marie	giso
2021-10-29	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-10-30	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-10-31	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-01	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-02	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-03	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-04	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-05	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-06	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-07	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-08	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-09	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-10	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-11	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-12	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-13	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-14	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-15	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-16	370.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	695.0	0.0
2021-11-17	370.0	0.0	0.0	0.0	5.0	0.0	0.0	150.0	695.0	0.0
2021-11-18	370.0	0.0	0.0	0.0	35.0	0.0	0.0	150.0	695.0	0.0
2021-11-19	375.0	35.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-20	375.0	35.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-21	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-22	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-23	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-24	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-25	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-26	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-27	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-28	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-29	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-11-30	375.0	80.0	0.0	0.0	55.0	0.0	0.0	150.0	695.0	0.0
2021-12-01	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	695.0	0.0
2021-12-02	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	695.0	0.0
2021-12-03	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	695.0	0.0
2021-12-04	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	695.0	0.0
2021-12-05	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	695.0	0.0
2021-12-06	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	695.0	0.0
2021-12-07	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	695.0	0.0
2021-12-08	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	730.0	0.0
2021-12-09	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	730.0	0.0
2021-12-10	375.0	80.0	0.0	0.0	55.0	0.0	0.0	160.0	730.0	0.0
2021-12-11	375.0	95.0	0.0	0.0	55.0	0.0	0.0	160.0	730.0	0.0
2021-12-12	375.0	95.0	0.0	0.0	55.0	0.0	0.0	160.0	760.0	0.0
2021-12-13	375.0	95.0	0.0	0.0	55.0	0.0	0.0	160.0	760.0	0.0
2021-12-14	375.0	95.0	0.0	0.0	55.0	0.0	0.0	160.0	780.0	0.0
2021-12-15	460.0	110.0	15.0	35.0	70.0	25.0	30.0	165.0	830.0	0.0
2021-12-16	480.0	110.0	15.0	105.0	75.0	120.0	115.0	165.0	830.0	0.0
2021-12-17	480.0	110.0	15.0	155.0	75.0	160.0	115.0	165.0	865.0	0.0
2021-12-18	480.0	110.0	15.0	175.0	75.0	175.0	115.0	165.0	865.0	0.0
2021-12-19	480.0	110.0	15.0	200.0	75.0	175.0	115.0	165.0	865.0	0.0
2021-12-20	480.0	110.0	15.0	200.0	75.0	175.0	115.0	165.0	865.0	0.0
2021-12-21	480.0	110.0	15.0	200.0	75.0	175.0	115.0	165.0	865.0	0.0
2021-12-22	480.0	110.0	15.0	200.0	75.0	175.0	115.0	165.0	865.0	0.0
2021-12-23	480.0	110.0	15.0	225.0	75.0	175.0	115.0	165.0	865.0	0.0
2021-12-24	480.0	110.0	15.0	225.0	75.0	175.0	115.0	165.0	865.0	0.0
